id,english,google_translate_sundanese
92,"Telecommunications are not just for big cities, but also remote areas and country borders. (CC: Telkomsel)","Télékomunikasi sanés ngan ukur pikeun kota gedé, tapi ogé daérah terpencil sareng wates nagara. (CC: Telkomsel)"
93,It is best to have at least five hours of sleep.,Hadé pisan mun éta saré sahenteuna lima jam.
94,"Me and my coworker deliberately tried having lunch here, the place was quite comfy, in the upper floors at least. I highly recommend the roasted chicken here, along with the mango sambal.","Abdi sareng rerencangan ngahaja nyobian tuang siang di dieu, tempatna lumayan nyaman, sahenteuna di lantai luhur. Abdi nyarankeun pisan pikeun hayam panggang di dieu, sareng sambal mangga."
95,"I'm disappointed with the service. I just ordered grabfood, the order didn't come but it was marked as completed. Please be more selective in hiring your workers.","Abdi kuciwa kalayan layanan. Kuring ngan mesen grabfood, pesenan teu datang tapi geus ditandaan geus réngsé. Mangga janten langkung selektif dina nyewa pagawe Anjeun."
96,"We're reporting a lost Xiaomi Redmi Note 5 64 / 4 phone with gold color in Duri Selatan area, Jembatan Lima, Tambora, Jakarta Barat","Kami ngalaporkeun telepon Xiaomi Redmi Note 5 64/4 leungit warna emas di wewengkon Duri Selatan, Jembatan Lima, Tambora, Jakarta Barat."
97,I'm not disappointed with Apple's product,Abdi henteu kuciwa sareng produk Apple
98,"YouTube is showing more ads the more days pass, it's annoying!","YouTube nampilkeun langkung seueur iklan beuki seueur dinten, éta ngaganggu!"
99,"The indomie and the bowl were all over the place, to the point the contents got separated from the container.","Indomie jeung mangkok nyampeurkeun, nepi ka eusina dipisahkeun tina wadahna."
100,We came to this cafe to have some serabi. The serabi was too thick in the middle for us. There were so many toppings for the serabi that we didn't know what to pick. Turns out the price was way higher than the store in Setiabudi. What a letdown.,Kami datang ka kafe ieu kanggo tuang serabi. Serabi éta kandel teuing di tengah pikeun urang. Aya seueur topping kanggo serabi dugi ka urang henteu terang naon anu kedah dipilih. Tétéla hargana langkung luhur tibatan toko di Setiabudi. Naon letdown.
101,"Steak's cheap, fit for those with small budget but wantt a low-cost, fulfilling meal, other than steak there are also other tasty, inexpensive chows. Atmosphere's pretty crowded, usually filled with many families or schoolkids.","Steak murah, pas pikeun anu gaduh anggaran leutik tapi hoyong tuangeun béaya rendah, salian ti steak aya ogé tuangeun anu ngeunah sareng murah. Suasana rada rame, biasana dipinuhan ku seueur kulawarga atanapi budak sakola."
102,"The meeting between Bank BRI, BPBAT Sungai Gelam - Jambi, and Pokdakan representatives is held in Pudak village to discuss the method of channeling CSR funds from Bank BRI","Rapat antara Bank BRI, BPBAT Sungai Gelam - Jambi, jeung wakil Pokdakan dilaksanakeun di Désa Pudak pikeun ngabahas cara nyalurkeun dana CSR ti Bank BRI."
103,"This place is very interesting, the view's good, there's a play arena outside for the whole family. Highly recommended for families with children. Halal food with a varied menu.","Tempat ieu pikaresepeun pisan, pandanganna saé, aya arena maén di luar kanggo sadayana kulawarga. Kacida dianjurkeun pikeun kulawarga jeung barudak. Dahareun halal kalayan menu anu variatif."
104,"Checking in this hotel was so dang complicated. Waiting for room cleaning took forever, really disappointing. This was the first time I went there, too. Not off to a great first impression","Mariksa di hotél ieu jadi dang pajeulit. Ngadagoan beberesih kamar nyandak salawasna, bener nguciwakeun. Ieu kahiji waktos kuring indit ka dinya, teuing. Henteu janten kesan munggaran anu saé"
105,"Since the OKTrip card right now is from the BNI bank,, topping up can be done with partners who work together with BNI.","Kumargi kartu OKTrip ayeuna ti bank BNI,, topping tiasa dilakukeun sareng mitra anu damel sareng BNI."
106,"Overall, it's alright, yeah. The employees are also hospitable and kind. And the scenery is wonderful. But the food is way too costly. In fact, it is hella expensive. Gotta have a thick wallet.","Gemblengna, teu kunanaon, nuhun. Karyawan ogé marahmay sareng bageur. Jeung tetempoan éndah. Tapi kadaharanana mahal teuing. Nyatana, éta mahal pisan. Kudu boga dompet kandel."
107,"Dining with your family is more fun with all the facilities available. Location's good, food's quite delicious with a variety of choices. And the scenery & mood are just the cherries on top.","Dining jeung kulawarga anjeun leuwih senang jeung sagala fasilitas sadia. Lokasina saé, tuangeunana lumayan nikmat sareng seueur pilihan. Jeung tetempoan & wanda ngan céri di luhur."
108,"We chose Nasi Goreng Mafia in Setiabudi Street because we wanted a quick bite. Plus the fact that it was one of the must-try culinary places in Bandung. I ordered my favorite fried rice here, the Nasi Goreng Bandit, with the spiciness at level 3. The food came out pretty quickly, but unfortunately my rice was too hard, overshadowing all the spices.","Kami milih Nasi Goreng Mafia di Jalan Setiabudi kusabab hoyong gancang. Katambah-tambah yén éta téh salah sahiji tempat kuliner anu wajib dicoba di Bandung. Abdi mesen nasi goreng karesep abdi di dieu, Nasi Goreng Bandit, kalayan lada di tingkat 3. Dahareun gancang kaluar, tapi hanjakalna béas abdi teuas teuing, overshadowing sagala bungbu."
109,This is the most delicious stengkel soup in Aceh Tamiang,Ieu sup stengkel paling nikmat di Aceh Tamiang
110,Dear Admin pleeeeeeeeease reply to my direct message,Dear Admin pleeeeeeeeease bales pesen langsung abdi
111,"The main view from this Grandia Sku Lounge really relaxes you from stress. In fact, travellers often look for this area first, before resting in their rooms.","Panempoan utama ti Grandia Sku Lounge ieu leres-leres santai anjeun tina setrés. Nyatana, para wisatawan sering milarian daérah ieu heula, sateuacan istirahat di kamarna."
112,"We visited this place because the location was near the place we were staying in. We ordered Nasi Bakar and pasta. The Nasi Bakar was great, lots of options, and not spicy, appropriate for children. The pasta only had one type, but it tasted wonderful too. The price wasn't too expensive, food under 30 thousand were definitely affordable. This place also had free-wifi.","Kami nganjang ka tempat ieu kusabab lokasina caket sareng tempat kami cicing. Kami mesen Nasi Bakar sareng pasta. Nasi Bakar éta hébat, loba pilihan, sarta teu lada, cocog pikeun barudak. Pasta ngan ukur ngagaduhan hiji jinis, tapi raos teuing. Hargana teu mahal teuing, kadaharan di handapeun 30 rebu pasti meujeuhna. Tempat ieu ogé ngagaduhan wifi gratis."
113,"To get a beautiful view with colourful lights, it's best to visit at night. This is due to the Pasupati Bridge, which is the city's symbol, in the background.","Pikeun kéngingkeun pandangan anu saé kalayan lampu warna-warni, langkung saé nganjang wengi. Hal ieu disababkeun ku Sasak Pasupati, anu jadi simbol kota, di tukang."
114,"I came to this Sapulidi Resto because of an internet recommendation that I read saying that the scenery would be very beautiful and the eateries in the ricefields made me interested to come to the place. However, when I arrived, everything I had thought changed for the worse, starting from the parking spot that can be said was available, the broken access to the road and the smallness of the access point.","Kuring datang ka Resto Sapulidi ieu kusabab rekomendasi internét anu kuring maca nyarios yén pamandanganana bakal saé pisan sareng tempat-tempat makan di sawah ngajantenkeun kuring resep sumping ka éta tempat. Najan kitu, nalika kuring anjog, sagalana Kuring kungsi dipikir robah jadi goréng, mimitian ti tempat parkir nu bisa disebutkeun sadia, aksés pegat ka jalan jeung leutikna titik aksés."
115,"Because I was hungry, I ordered Indomie","Kusabab lapar, kuring mesen Indomie"
116,"The goat satay and goat gulay is delicious, the service is also very quick. The place is pretty clean.","Saté kambing sareng gurih kambing nikmat, pelayananna ogé gancang pisan. Tempatna lumayan beresih."
117,"The gourami soup is delicious, the service is quick and kind. The restaurant's clean. Since the rice portion is scarce, you'll be asking for seconds if you're a big eater.","Sup gourami nikmat, jasana gancang sareng bageur. Réstoran beresih. Kusabab porsi béas téh langka, anjeun bakal nanya pikeun detik lamun anjeun dahar badag."
118,"The retaurant has a waterfall view. The dining place is a bungalow. There's a lot of them from bottom all the way to the top, the higher you go, the more you'll see the waterfall view.","Rétaurant ngabogaan pintonan curug. Tempat makan nyaéta banglo. Aya loba di antarana ti handap kabeh jalan ka luhur, nu leuwih luhur anjeun balik, beuki anjeun bakal nempo pintonan curug."
119,"The server is so friendly. Makes me always wanna come back. I just so happen to stay here a lot, the hotel is clean and the view from the room is great","server pisan ramah. Ngajantenkeun kuring sok hoyong uih deui. Kuring ngan jadi lumangsung tetep didieu pisan, hotél téh beresih jeung pintonan ti kamar hébat"
120,Dinner with our whole family for my husband's birthday became very memorable thanks to the charming ambiene of the hotel. Very hospitable service by Mr. Tian. No need to wait long for the ordered food and drinks.,Dinner jeung sakabeh kulawarga urang keur ultah salaki urang janten pisan memorable berkat ambiene menawan hotél. Dilayanan pisan ku Tuan Tian. Henteu kedah ngantosan lami kanggo tuangeun sareng inuman anu dipesen.
121,"Keep goading, Mister, just rip apart the unity and oneness of Indonesia with your rhetorics.","Maju terus, Pak, mung ngarubuhkeun persatuan jeung kesatuan Indonesia ku rétorika."
122,"Located in the hillsides, the venue is vast, enjoyable, and comfortable. Has a scenic view that's a sight for the eyes, such as mountains, orchards, and the city of Bandung viewed from the top. The staffs are skilled and kind. The menu is dominated by steaks, but there are also fried rice, gourami, etc. This restaurant is highly recommended if you're visiting Bandung.","Tempatna di lereng gunung, tempatna lega, pikaresepeun, sareng nyaman. Mibanda tetempoan endah nu matak katenjo, saperti gunung, kebon, jeung kota Bandung ditempo ti luhur. Staf anu terampil sareng bageur. Menu didominasi ku steak, tapi aya ogé sangu goreng, gurami, jeung sajabana. Réstoran ieu kacida dianjurkeun lamun nuju nganjang ka Bandung."
123,BCA is holding a birthday event and inviting all of their employees to attend it,BCA ngayakeun acara ulang taun sarta ngondang sakabéh pagawéna pikeun hadir
124,"I've tried Cendana Bistro when it first opened. Not really for me, the food was mediocre, nothing special","Abdi parantos nyobian Cendana Bistro nalika mimiti dibuka. Teu bener keur kuring, dahareun éta biasa, euweuh husus"
125,"The minimum transaction for November that's supposed to be refunded in December has not been received in my account yet, yo","Transaksi minimum pikeun bulan Nopémber anu sakuduna dibalikeun dina bulan Désémber henteu acan katampi dina akun kuring, yo"
126,"After our crazy shopping spree, we decided to eat at a tent stall on the side of the road. On our way back to our hotel, we went through a small road to avoid traffic, and found this warteg. When we entered, it was absolutely packed! We needed to get in a line for a while. We ordered uduk rice, honey roasted chicken, entrails, and fried slaw. They were great! The honey roasted chicken was especially addicting!","Sanggeus balanja gélo, urang mutuskeun dahar di warung tenda di sisi jalan. Dina jalan balik ka hotél, urang ngaliwatan jalan leutik pikeun nyingkahan lalulintas, sarta manggihan warteg ieu. Nalika kami diasupkeun, éta kacida dipak! Urang kudu meunang dina antrian bari. Urang pesen sangu uduk, hayam bakar madu, jeroan, jeung sambel goreng. Maranéhanana hébat! The madu hayam Anggang éta utamana addicting!"
127,The news is horrible and not at all educational. It's all agendas and lip services,Warta anu pikareueuseun sareng henteu pisan atikan. Ã‰ta sadayana agenda sareng jasa biwir
128,Seller's response is slow. Takes forever to resolve problems. The item hasn't been refunded to this day.,Respon penjual lambat. Butuh salamina pikeun ngabéréskeun masalah. Barangna teu acan dibalikeun deui dugi ka ayeuna.
129,Don't miss our direct discount for up to Rp 10 million!,Tong lepat diskon langsung dugi ka Rp 10 juta!
130,"Our company, as well as 12 banks, has signed the contracts to fund the Jabodetabek LRT.","Perusahaan kami, sareng 12 bank, parantos nandatanganan kontrak pikeun ngabiayaan LRT Jabodetabek."
131,"I just knew about this place from a friend, when we came here it wasn't that crowded yet, so we chose to sit on the second floor while enjoying the outside view. There was a music performance that night, I did't really know whether the performance was a daily thing or not.","Abdi nembe terang tempat ieu ti rerencangan, waktos sumping ka dieu teu acan rame, janten urang milih diuk di lantai dua bari ngararasakeun pemandangan luar. Peuting éta aya pagelaran musik, kuring henteu terang naha pagelaran éta mangrupikeun hal sapopoé atanapi henteu."
132,I'd like to buy 20 tickets for Persebaya vs Arema showdown tomorrow,Abdi hoyong ngagaleuh 20 tiket pertandingan Persebaya vs Arema isukan
133,"The food is good enough, but the table layout needs work. It looks too crowded, so it's uncomfortable. Pretty pricy for such low quality.","dahareun geus cukup alus, tapi perenah tabel perlu karya. Katingalna rame teuing, matak keuheul. Lumayan pricy pikeun kualitas low sapertos."
134,"I love spending a long time here, because the vibe is nice, the lighting's spot on, and there are indoor and outdoor spots to choose from. The food's also pretty good","Abdi resep nyéépkeun waktos lami di dieu, sabab suasanana saé, cahayana hurung, sareng aya tempat di jero ruangan sareng luar anu tiasa dipilih. Dahareun ogé lumayan saé"
135,Everything Mr. Rocky said was baseless. It's a wonder how he's even a professor at all.,Sagalana ceuk Bapak Rocky éta baseless. Ã‰ta heran kumaha anjeunna malah profesor pisan.
136,"This restaurant has the perfect location in the hillsides, with cool breeze and refreshing green views. Of course, the main draw is the delicious Nusantara traditional cuisine. In short, here we can get a recreation for our taste buds, eyes, and soul all at the same time.","Réstoran ieu ngagaduhan lokasi anu sampurna di lereng gunung, kalayan angin ngahiliwir tiis sareng pandangan héjo anu nyegerkeun. Tangtos anu utami nyaéta masakan tradisional Nusantara anu nikmat. Pondokna, di dieu urang bisa meunangkeun rekreasi pikeun kuncup rasa, panon, jeung jiwa urang sadayana dina waktos anu sareng."
137,"Even my wife, who isn't much of a ramen fan, said that it was delicious and savory for once. She even ordered some for herself after tasting mine.",Malahan pamajikan kuring nu teu pati resep ramen mah cenah ngeunah jeung gurih sakalian. Manehna malah maréntahkeun sababaraha keur dirina sanggeus tasting milik.
138,"The place is comfy. Taste is delish. Price is okay, too. The goat doesn't smell. Highly recommended for goat culinary lovers.",Tempatna nyaman. Rasa anu ngeunah. Harga oke oge. Embe teu bau. Kacida dianjurkeun pikeun pencinta kuliner embe.
139,"One of the best seafood restaurants in this city. Better come here on free Saturdays, while the fresh crab's just in. Competitive price, not too cheap, but not that pricey either.","Salah sahiji réstoran seafood pangalusna di kota ieu. Leuwih alus datang ka dieu on Saturdays bébas, bari yuyu seger urang kakara asup. Harga kalapa, teu murah teuing, tapi teu nu pricey ogé."
140,"To find an authentic Batagor, you need not look to remote areas far away, just drive straight to the street on Djunjunan, and we may enjoy the tasty original Batagor with a comfortable place. Their batagor's flavour is really mouthwatering since it's served with the crisps and smothered in fresh peanut sauce.","Pikeun manggihan Batagor otentik, anjeun teu kudu ningali ka wewengkon terpencil jauh, ngan ngajalankeun langsung ka jalan on Djunjunan, sarta kami bisa ngarasakeun Batagor aslina ngeunah jeung tempat nyaman. Rasa batagor maranéhna bener-bener nyegerkeun sabab dilayanan ku kerupuk sareng diseduh saos kacang seger."
141,"Citrarasa is mediocre, nothing special. You have to wait a long time for the food. The waiters are also not very friendly","Citrarasa biasa-biasa wae, euweuh nu istimewa. Anjeun kudu ngadagoan lila pikeun dahareun. The waiters ogé teu pisan ramah"
142,A special birthday cake made from a plate of egg plus mozzarella just for you,Kue ulang tahun khusus anu didamel tina piring endog ditambah mozzarella kanggo anjeun
143,"Wanna go ham on Indosat! Why does the signal keep disappearing, ugh","Hayang nguping di Indosat! Naha sinyalna terus ngaleungit, yeuh"
144,"You should try this diner with traditional aka old school concept a try. Aside from its great taste, this place also has plenty of unique traits such as the usage of enamel plates and drinking glasses from the old times. The menu has a lot of variety, and every single one is delicious!","Anjeun kedah nyobian tuangeun ieu kalayan konsép sakola tradisional anu dicobian. Salian ti rasana anu saé, tempat ieu ogé ngagaduhan ciri anu unik sapertos panggunaan piring enamel sareng gelas nginum ti jaman baheula. menu nu boga loba rupa, sarta unggal hiji nikmat!"
145,"KFC Palembang Square is often times a lifesafer when I'm starving in a hotel room near their location. Everyone loves KFC, after all, so the KFC in this location encourages you to order as soon as you feel hungry when staying in your room.","KFC Palembang Square sering janten langkung aman nalika kuring kalaparan di kamar hotél caket lokasina. Sarerea mikanyaah KFC, barina ogé, jadi KFC di lokasi ieu ajak anjeun mesen pas anjeun ngarasa lapar nalika cicing di kamar anjeun."
146,"Many kinds of fresh drinks are available here, ranging from fruit juices to different types of tea.","Aya seueur jinis inuman seger di dieu, mimitian ti jus buah dugi ka jinis tÃ¨h."
147,"On March 10th 2015 some time ago, I took our kids here for lunch. I ordered crispy shrimps and sayur asem. Absolutely delicious. And the best part here was the sambal, so spicy and yet so addicting. The blackberry juice was also great.","Tanggal 10 Maret 2015 sababaraha waktos kapengker, abdi nyandak murangkalih ka dieu pikeun tuang siang. Kuring mesen udang garing sareng sayur asem. Leres pisan. Jeung bagian pangalusna di dieu nya éta sambal, jadi lada na acan jadi addicting. Jus blackberry ogé saé."
148,"If you were gonna run a restaurant, make sure it's fancy and tidy, not mossy and mouldy like this. The waiters were also bad, I can't believe they spilled some drink on me. Worst part was the drink had honey in it, and I'm allergic to honey.","Upami anjeun badé ngajalankeun réstoran, pastikeun éta rapih sareng rapih, henteu lumut sareng kapang sapertos kieu. The waiters éta ogé goréng, Abdi teu tiasa percanten aranjeunna spilled sababaraha inuman dina kuring. Bagian anu paling parah nyaéta inuman anu ngandung madu, sareng kuring alérgi kana madu."
149,"I just replaced my broken card, but there's still no signal","Kuring ngan ngaganti kartu abdi rusak, tapi masih euweuh sinyal"
150,Avoiding drugs in one of the ways to improve our youth's quality.,Ngahindarkeun narkoba dina salah sahiji cara ningkatkeun kualitas nonoman urang.
151,"...In the food department, ...","...Di jurusan pangan, ..."
152,"Using a duplicate key, the BRI Bank in the city center was robbed by thieves, and one million rupiah was stolen.","Ngagunakeun konci duplikat, Bank BRI di puseur dayeuh dirampog ku maling, jeung maling sajuta rupiah."
153,"At night around 7 p.m. I was invited by my client to this eatery. Overall, it seems there's a lot of fried stuff, like chicken, belly, entrails, gizzard, but for me the taste is nothing special, and the oil in them might be too much. There's a lot of variations, though.","Peuting kira-kira jam 7. Kuring diondang ku klien kuring ka réstoran ieu. Gemblengna, sigana aya seueur gorengan, sapertos hayam, beuteung, jeroan, gizzard, tapi pikeun kuring rasana henteu aya anu istimewa, sareng minyak di jerona tiasa seueur teuing. Aya seueur variasi, sanaos."
154,"Hi Angga, you need to pay for the rescheduled ticket first before you can issue it.","Hai Angga, anjeun kedah mayar tikét anu dijadwalkeun deui sateuacan anjeun tiasa ngaluarkeunana."
155,My older brother sold an iphone 8 to buy a ps5,Lanceuk kuring ngajual iphone 8 kanggo ngagaleuh ps5
156,"I went throgh a 7-hour trip from Bogor just to eat that oxtail soup but I had been waiting from 8.30 and they weren't open yet. In the end, I decided to come at 10.00. Ordered the oxtail soup but it was not available because last night was so hectic so the chef was still exhausted. Wow, what kind of excuse was that? So different from when I was here a year ago, huh. The place was also filthy, like no one actually cared to run the business.","Kuring ngaliwat perjalanan 7 jam ti Bogor ngan ukur tuangeun sop buntut tapi kuring parantos ngantosan ti 8.30 sareng aranjeunna henteu acan dibuka. Tungtungna, kuring mutuskeun datang jam 10.00. Mesen sup buntut tapi teu sadia sabab tadi peuting jadi sibuk jadi chef masih capé. Wah, alesan naon éta? Beda pisan sareng nalika kuring di dieu sataun katukang, huh. Tempat éta ogé kotor, kawas euweuh jalma sabenerna paduli ngajalankeun bisnis."
157,"Checking the Mandiri Verified by Visa Vbv service cannot be done through Mandiri Call 14000 service, but it can be done through email and Bank Mandiri's branch offices","Mariksa jasa Mandiri Verified by Visa Vbv henteu tiasa ngalangkungan layanan Mandiri Call 14000, tapi tiasa ngalangkungan email sareng kantor cabang Bank Mandiri."
158,"You gotta try hanging out or dining in The 18th. The scenery looks amazing and the main appeal of this place is its glass floor. Even though the price is rather high because it's in Trans Hotel, the relaxing atmosphere really makes up for it.","Anjeun kedah nyobian nongkrong atanapi tuang di The 18th. Pamandanganna katingali endah sareng daya tarik utama tempat ieu nyaéta lantai kaca na. Sanajan hargana rada luhur sabab di Trans Hotel, atmosfir santai bener-bener nyukupan."
159,One of the malls with a pretty unique concept. Lots of restaurants to choose from so it's perfect for spending time with friends.,Salah sahiji mall kalayan konsép anu cukup unik. Seueur réstoran anu tiasa dipilih janten sampurna pikeun nyéépkeun waktos sareng réréncangan.
160,"The location's near the main road, making it easy for us to reach it. If you don't have your own ride, you can use public transport to get here. The menu here is absolutely massive and there's a lot of new stuff that I haven't even seen before coming here, it also tastes divine even with a standard cost, the place is really comfy.","Lokasina deukeut jalan utama, sahingga gampang pikeun urang ngahontal eta. Upami anjeun teu gaduh kendaraan sorangan, anjeun tiasa nganggo angkutan umum pikeun ka dieu. Menu di dieu leres pisan ageung sareng seueur barang énggal anu kuring henteu acan kantos ningali sateuacan sumping ka dieu, éta ogé raos ketuhanan sanajan kalayan biaya standar, tempatna leres-leres nyaman."
161,"This place is not fit for families who bring along toddlers. The streets are so steep. For the photo booth outside, it can only be filled with max. 10 people but still so many are forcing themselves to get on it to take photos on.","Tempat ieu henteu cocog pikeun kulawarga anu mawa barudak. Jalan-jalanna jadi lungkawing. Pikeun stan poto di luar, éta ngan bisa ngeusi max. 10 jalma tapi masih seueur anu maksakeun diri pikeun nyandak poto."
162,"This place is one of my favorites to view Bogor at night, with its cosy ambience accompanied with their food and drinks complete with hospitable service. The absolutely stunning city lights are visible from here. Recommended place to spend time with your partner, family, or friends.","Tempat ieu mangrupikeun salah sahiji karesep kuring pikeun ningali Bogor wengi-wengi, kalayan suasana anu nyaman dipirig ku tuangeun sareng inuman anu lengkep sareng jasa anu ramah. Lampu kota anu kacida endahna katingali ti dieu. Tempat anu disarankeun pikeun nyéépkeun waktos sareng pasangan, kulawarga, atanapi réréncangan anjeun."
163,Disappointed with the ticket refund process. 43 days and they still haven't transfered it. The counter won't accept my requests,Kuciwa ku prosés ngabalikeun duit tikét. 43 dinten sareng aranjeunna henteu acan ngalihkeunana. Loket moal nampi pamundut kuring
164,"The choices of food and beverages are plentiful. And the venue is big, separated into several parts and concepts. For the price, it's just right for my pocket.","Pilihan dahareun jeung inuman anu loba. Sareng tempatna ageung, dipisahkeun kana sababaraha bagian sareng konsép. Pikeun hargana, éta pas pikeun saku kuring."
165,"An old-school style restaurant. There are cakes as well as ice cream on display. The vibe is nice. Distinctly homely menu. Fit for groups or families. The food tastes pretty good. The nasi ulam is delicious. The nasi tutug oncom is also tasty. They serve European, Asian, and Nusantara cuisine here. You can take your pick. The kids love eating ice cream here.","Hiji réstoran gaya heubeul-sakola. Aya kuéh ogé és krim anu dipajang. Vibe anu saé. Béda menu homely. Cocog pikeun grup atanapi kulawarga. dahareun raos geulis alus. Nasi ulam ngeunah. Nasi tutug oncom oge ngeunah. Di dieu aranjeunna nyayogikeun masakan Ã‰ropa, Asia, sareng Nusantara. Anjeun tiasa milih. Barudak resep tuang és krim di dieu."
166,"One of the most famous batagor in Bandung. It's tasty, ten thousand rupiah for one piece. Buying three pieces for me is filling enough because its size is quite big.","Salah sahiji batagor anu kasohor di Bandung. Enak, sapuluh rebu rupiah sapotong. Meuli tilu lembar keur kuring cukup ngeusian sabab ukuranana rada badag."
167,I used to believe that Citra body lotion made my body grows more hair,Abdi biasa percaya yén body lotion Citra ngajantenkeun awak abdi langkung seueur rambut
168,It's always congested everywhere when it's holiday season.,Di mana-mana sok ramé lamun keur usum liburan.
169,"Please inform us of the chronological details, as well as your initial and current phone credits by mentioning our team. We will then check the transactional history of the credits.","Punten wartosan kami ngeunaan detil kronologis, ogé sks telepon awal sareng ayeuna anjeun ku nyebatkeun tim kami. Urang lajeng bakal pariksa sajarah transactional tina sks."
170,"The outdoor dining area is great. The ribs are okay, tastes delicious. The orange juice with strawberry is good. Price is okay, too","Wewengkon makan outdoor hébat. Iga teu kunanaon, raos nikmat. Jus jeruk sareng strawberry saé. Harga oke oge"
171,"For those who want a resto with a romantic feel, you've come to the right place. And if you're low on cash, just order the lighter stuff. Don't be fooled by the pics in the menu if you don't wanna regret it. The suki menu was okay but it might not be worth your time getting stuck in traffic just for that. I think the ones in the city are a lot better. The night view of Jogja was great, though.","Pikeun anu hoyong resto kalayan rasa romantis, anjeun parantos sumping ka tempat anu leres. Tur upami Anjeun salah kas, ngan mesen barang torek. Tong kabobodo ku poto dina ménu upami anjeun henteu hoyong kuciwa. Menu suki henteu kunanaon tapi panginten henteu pantes waktos anjeun macét dina lalu lintas kanggo éta. Jigana nu di kota téh leuwih hadé. Pamandangan wengi Jogja saé pisan."
172,"The taste is just about the same as the other seafood restos. Safe, clean, and the service is quick","Rasana ampir sami sareng réstoran seafood anu sanés. Aman, bersih, sareng palayanan gancang"
173,"The quick count results are announced to be different from the survey results, really makes me wonder.","Hasil count gancang diumumkeun béda ti hasil survéy, bener ngajadikeun kuring heran."
174,"First time coming here was to celebrate my younger sibling's graduation. The place was, whew, so awesome. The design was also unique, cool, comfy, homey, and fit really well for a dinner with family, partner, siblings, and friends, also the lanscape was wonderful, the dishes were delightful too. The price was well worth the services, did not regret coming here. Super, highly recommended.","Pertama kali datang ka dieu pikeun ngagungkeun wisuda adi kuring. Tempat éta, wéh, saé pisan. Desainna ogé unik, tiis, nyaman, homey, sareng pas pisan pikeun tuangeun tuangeun sareng kulawarga, pasangan, duduluran, sareng réréncangan, ogé bentang anu saé, piring ogé pikaresepeun. Harga éta ogé patut jasa, teu kuciwa datang ka dieu. Super, disarankeun pisan."
175,"Everyone has different levels of reading comprehension, some only read once and immediately understand, others need to read over and over before finally getting it","Unggal jalma gaduh tingkat pamahaman bacaan anu béda-béda, aya anu ngan ukur maca sakali sareng langsung ngartos, anu sanésna kedah maca deui-deui sateuacan tungtungna nampi."
176,"Whoa, I am appalled at the services of the security unit of BTPN Bromo Malang. Seriously, the discrimination is off the charts. If we just want information on their products. We'd be belittled. Tendency to kick out. Very displeased!","Waduuuh, kuring ngaheureuyan jasa satpam BTPN Bromo Malang. Serius, diskriminasi éta kaluar tina grafik. Lamun urang ngan hayang informasi ngeunaan produk maranéhanana. Urang bakal dihina. Kacenderungan nyepak kaluar. Teu resep pisan!"
177,"Bandung is famous for its high-quality local tofu production, and one of the best can be found in Warung Telaga. They have their own factory on Sudirman Street, but have since expanded their business into culinary. There's a lot of tofu menus available. Highly recommended for culinary lovers","Bandung kasohor ku produksi tahu lokal kualitas luhur, sareng salah sahiji anu pangsaéna tiasa dipendakan di Warung Telaga. Aya pabrik sorangan di jalan Sudirman, tapi ti saprak ngalegaan usahana kana kuliner. Aya seueur ménu tahu. Kacida dianjurkeun pikeun pencinta kuliner"
178,Please refund the fees I sent last month.,Mangga ngabalikeun duit waragad kuring dikirim bulan panungtungan.
179,"One of my favorite meny is the McFlurry with various flavours, other than the package menu with two chickens. For me, McD's chickens have their own distinct tastes and their breasts have soft textures with crisp spices.","Salah sahiji meny favorit kuring nyaéta McFlurry kalawan rupa-rupa rasa, lian ti menu pakét dua hayam. Pikeun kuring, hayam McD gaduh rasa anu béda sareng dadana gaduh tékstur anu lembut sareng rempah-rempah anu garing."
180,I feel annoyed when looking at someone's parked car blocking the public road.,Kuring ngarasa keuheul basa nempo mobil nu keur parkir ngahalangan jalan umum.
181,"The satays are massive. The sauce is served separately, with chopped onions and steamed Cayenne pepper. The portions of lontong and rice are also just right. What I'm saying is, I love it.","Saté téh masif. Saos dilayanan nyalira, sareng bawang dicincang sareng cabé Cayenne kukus. Porsi lontong sareng sangu oge pas. Naon anu kuring nyarioskeun nyaéta, kuring resep."
182,"When you really look at them, Sandiaga Uno and Nadiem Makarim kinda look alike.","Nalika anjeun leres-leres ningali aranjeunna, Sandiaga Uno sareng Nadiem Makarim sami-sami."
183,"Good morning. Wow, heavily let down, Indihome's internet really cannot connect again. I have paid expensively. Don't disappoint us as customers,.","Wilujeng énjing. Wah, hanjakal pisan, internét Indihome leres-leres teu tiasa nyambung deui. Kuring geus mayar mahal. Tong nguciwakeun urang salaku palanggan,."
184,"Driver did not come to the destination, but the aplicatiion marked as if I had ridden, and my Gopay was already deducted, I give up on using Gojek.","Supir henteu dugi ka tujuan, tapi aplikasina ditandaan saolah-olah kuring naék, sareng Gopay kuring parantos dipotong, kuring nyerah nganggo Gojek."
185,"I don't think the food here is that good. Maybe because I'm Minangese, but I'm not really a fan of the sweet Javanese food hehe","Teu nyangka dahareun di dieu téh alus. Bisa jadi kuring urang Minang, tapi kuring teu pati resep kana kadaharan Jawa nu amis hehe"
186,"Taxes, bro, I wanna get my Efin number. I've activated it, but I forgot my Djponline account's password.","Pajak, Kang, abdi hoyong nomer Efin abdi. Kuring geus diaktipkeun, tapi kuring poho sandi akun Djponline."
